Sentence,Label
The weather was exactly as the forecast said.,No
This situation is exactly as planned.,No
This reaction is exactly what I expected.,No
This response was utterly surprising.,Yes
I can't fathom how shocking this development is.,Yes
I can't get over how surprised I feel.,Yes
I am blown away by this unexpected result.,Yes
This entire process has been smooth and expected.,No
This plot twist in the story is mind-blowing.,Yes
I can't believe what just happened!,Yes
"Wow, I am in utter disbelief right now.",Yes
This is a curveball I did not see coming.,Yes
This project wrapped up as I thought it would.,No
I am baffled by this twist in events.,Yes
I could see this coming from the early signs.,No
I am astonished by this revelation.,Yes
This is just another routine day at work.,No
The conclusion was obvious from the beginning.,No
This is the last thing I thought would happen.,Yes
I am dumbfounded by this happening.,Yes
There were no surprises in this event.,No
This decision is perfectly in line with the criteria.,No
This piece of news is incredibly surprising.,Yes
This news just blew me away completely.,Yes
Everything is stable and as it should be.,No
This event has left me completely stunned.,Yes
This moment has me completely shell-shocked.,Yes
The situation is as standard as it gets.,No
I can't wrap my head around this surprise.,Yes
There were no sudden changes or shocks in the event.,No
I am speechless with amazement.,Yes
This twist is both shocking and fascinating.,Yes
This result is well within the margins we anticipated.,No
What an astonishing surprise you’ve prepared!,Yes
There were no deviations from the original scope.,No
This surprise party is truly unexpected!,Yes
Everything is going according to schedule.,No
The day has been rather uneventful.,No
This situation has left me wide-eyed in amazement.,Yes
I never saw this coming in a million years.,Yes
I am utterly amazed at this coincidence.,Yes
This coincidence is unbelievable and shocking.,Yes
What an incredible and unexpected gift!,Yes
The process has been routine and predictable.,No
I am caught completely off guard by this.,Yes
I am floored by this surprise news.,Yes
The conversation went exactly as I had foreseen.,No
I am flabbergasted by this turn of events.,Yes
I saw this result coming a mile away.,No
I am taken aback by this discovery.,Yes
This revelation changes everything I thought I knew.,Yes
What a shocking turn of events.,Yes
This is the most astonishing thing I've ever seen.,Yes
"This arrival is so unexpected, it left me speechless.",Yes
This result is beyond my wildest imagination.,Yes
I am not at all surprised by these results.,No
I had no idea this was coming my way.,Yes
There were no unexpected changes in the plan.,No
What an unanticipated moment of joy and surprise!,Yes
The event unfolded as per the timeline.,No
This scenario unfolded just as I thought it would.,No
The outcome is as clear as day.,No
I had a feeling this would happen.,No
This scene is beyond anything I expected.,Yes
This outcome is exactly what I anticipated.,No
The performance was consistent with prior outcomes.,No
What a wonderfully unexpected thing to happen!,Yes
This development is not surprising at all.,No
This event was completely within expectations.,No
Everything has been smooth sailing as usual.,No
This is the outcome I was counting on.,No
What a staggering piece of information to hear!,Yes
This project has been progressing exactly as expected.,No
This revelation has left me in awe and surprise.,Yes
There have been no unexpected issues along the way.,No
The meeting went as per the agenda.,No
The atmosphere here is calm and predictable.,No
This is one of the most unexpected experiences of my life.,Yes
This outcome fits the pattern we've seen before.,No
The outcome aligns perfectly with the forecast.,No
The situation played out just as I imagined.,No
This trend has been steady and unsurprising.,No
This discovery is a complete game-changer.,Yes
I am amazed at this sudden development.,Yes
This news completely caught me off guard.,Yes
The results were predictable from the start.,No
This came out of nowhere and left me shocked.,Yes
"Wow, I never expected this outcome!",Yes
"This is a shocker, I can't believe it.",Yes
The path we took was straightforward and predictable.,No
The work environment has been as expected.,No
The team executed the plan without deviations.,No
This presentation met expectations without surprises.,No
This behavior is entirely in line with expectations.,No
What a jaw-dropping moment this is!,Yes
Nothing out of the ordinary happened here.,No
The news aligns with my previous assumptions.,No
What an unexpected turn of luck!,Yes
The sequence of events was exactly as planned.,No
Everything went as expected today.,No
