Sentence,Label
This has been a truly delightful experience.,No
This moment brings me so much joy.,No
I feel refreshed after a good night's sleep.,No
I miss the way things used to be.,Yes
I feel so powerless and sad.,Yes
I can't believe this has happened to me.,Yes
This sadness feels endless.,Yes
I feel inspired to do something great today.,No
I don't know how to cope with this pain.,Yes
I feel so alone right now.,Yes
I keep thinking about all the things I've lost.,Yes
The sadness is consuming me.,Yes
This is a moment to cherish forever.,No
I can't help but cry when I think about it.,Yes
I feel optimistic about what's coming next.,No
"I miss them so much, it hurts.",Yes
This is the start of something amazing.,No
I feel like I can achieve anything.,No
Everything feels meaningless right now.,Yes
I can't escape this feeling of loss.,Yes
The support of my family means the world to me.,No
I love the sound of birds chirping in the morning.,No
This overwhelming sadness won't let me rest.,Yes
This sadness follows me everywhere.,Yes
The bright sunshine feels warm and comforting.,No
The pain is too much to bear.,Yes
I feel like my world has fallen apart.,Yes
I feel deeply connected to the beauty of life.,No
I wish things were different.,Yes
I feel so excited about the possibilities ahead.,No
I feel empty inside.,Yes
I feel like I'm breaking apart.,Yes
This meal is absolutely delicious.,No
I feel disconnected from everything around me.,Yes
This journey is worth every step.,No
My heart feels heavy with sorrow.,Yes
I love spending time with the people I care about.,No
The kindness of strangers restores my faith.,No
This pain feels like it will never fade.,Yes
I feel abandoned and hopeless.,Yes
I wish I could just make it all go away.,Yes
I feel like I'm stuck in a never-ending sadness.,Yes
I can't find joy in anything anymore.,Yes
This is one of the best days of my life.,No
I am struggling to hold back tears.,Yes
It's hard to see a way forward.,Yes
This success is truly rewarding.,No
I feel like I've lost a part of myself.,Yes
The beauty of nature is awe-inspiring.,No
I can't shake off this sadness.,Yes
My heart aches every single day.,Yes
This loss is unbearable.,Yes
Why does life have to be so hard?,Yes
The memories make me sad all over again.,Yes
It feels like the world has gone dark.,Yes
This garden is a slice of paradise.,No
I am overwhelmed by sadness today.,Yes
I am so grateful for everything I have.,No
I am so tired of feeling this way.,Yes
This opportunity fills me with excitement.,No
I am feeling very positive about the future.,No
I am so happy to be here right now.,No
I can't wait to start this new journey.,No
I can't see the light at the end of the tunnel.,Yes
This is a wonderful opportunity for growth.,No
I feel calm and at peace with myself.,No
I can't stop mourning for what I've lost.,Yes
This accomplishment makes me so happy.,No
I feel energized and ready to work.,No
This is a memory I will always treasure.,No
I can't wait to share this with others.,No
Why does everything feel so hopeless?,Yes
The laughter of children is such a joyful sound.,No
The tears won't stop falling.,Yes
I can't help but feel a sense of accomplishment.,No
This book fills me with excitement.,No
I feel like I'm on top of the world.,No
I feel like I have no one to turn to.,Yes
I feel a strong sense of belonging with this group.,No
I feel proud of my achievements.,No
This song always lifts my spirits.,No
I feel a sense of wonder when I look at the stars.,No
I wish I could go back to happier times.,Yes
Why do I feel this way all the time?,Yes
Why does it always end like this?,Yes
I feel so happy spending time with my friends.,No
I feel so broken and defeated.,Yes
I can't stop crying about what happened.,Yes
I can't stop thinking about what went wrong.,Yes
This peaceful silence is just perfect.,No
The view from here is simply breathtaking.,No
I can't stop smiling about what just happened.,No
I feel a deep sense of gratitude for this moment.,No
I feel hopeful about the future.,No
I am grieving for what could have been.,Yes
This project is coming along wonderfully.,No
This celebration is so much fun.,No
I feel like I'm drowning in sorrow.,Yes
I feel like celebrating every little victory.,No
What a lovely day it is today!,No
