Sentence,Label
I feel trapped in a web of panic and fear.,Yes
This is just another routine occurrence.,No
I am calm and collected in this moment.,No
This situation feels like it’s straight out of a horror story.,Yes
My instincts are screaming at me to get out of here.,Yes
The ominous presence around me fills me with fear.,Yes
This experience is unremarkable and entirely normal.,No
I feel as if I am being watched in the dark.,Yes
The darkness is suffocating and terrifying.,Yes
I am terrified of what might happen next.,Yes
The shadows are playing tricks on my mind.,Yes
This is the scariest moment I’ve ever faced.,Yes
I feel safe and unthreatened by the events around me.,No
I feel completely safe from harm here.,No
I feel perfectly safe and secure right now.,No
This is the most frightening experience of my life.,Yes
This is a stress-free and comfortable situation.,No
The sight of it has left me horrified.,Yes
This situation sends chills down my spine.,Yes
Every little noise makes me feel alarmed.,Yes
There is no reason to be alarmed or concerned here.,No
This feels like a safe and predictable scenario.,No
I feel an uncontrollable urge to run away.,Yes
I feel secure and unbothered by the surroundings.,No
The fear in my heart is growing stronger with each moment.,Yes
This is a worry-free and tranquil atmosphere.,No
I feel like something bad is about to happen.,Yes
I feel no threat or danger from this event.,No
"My fear is so strong, it feels tangible.",Yes
I am consumed by a sense of dread.,Yes
The surroundings are soothing and free of menace.,No
I can't shake this overwhelming fear.,Yes
I am undisturbed and calm in this situation.,No
I feel relaxed and in control.,No
The fear in my mind is overwhelming my thoughts.,Yes
I feel nothing but tranquility in this place.,No
I am frozen in fear right now.,Yes
I feel stable and confident in this environment.,No
This is a completely ordinary and safe situation.,No
This situation makes me feel powerless and afraid.,Yes
The eerie silence is making my fear worse.,Yes
There is no tension or unease in this setting.,No
I can feel the fear coursing through my veins.,Yes
I feel paralyzed by the thought of danger.,Yes
I can't help but think of the dangers ahead.,Yes
This is a familiar and comfortable environment for me.,No
I feel as if danger is lurking everywhere.,Yes
I can't stop imagining the worst-case scenario.,Yes
I am at peace with the situation unfolding.,No
This moment feels like the calm before the storm.,Yes
There is no sense of danger or alarm in the air.,No
I feel dread looming over me like a shadow.,Yes
My hands are shaking uncontrollably from fear.,Yes
My heart is pounding like a drum from fright.,Yes
The thought of it makes my heart race with fear.,Yes
My stomach is in knots from sheer panic.,Yes
This experience is a waking nightmare for me.,Yes
My worst nightmare has come to life.,Yes
The scenario feels normal and non-threatening.,No
Every sound makes me jump out of my skin.,Yes
I have complete confidence that everything will be fine.,No
I can't stop shaking from the terror I feel.,Yes
I feel a deep sense of safety where I am.,No
This place gives me a sense of peace and comfort.,No
Everything is clear and free of danger here.,No
There is nothing alarming or frightening about this.,No
I feel completely at ease with this situation.,No
Nothing about this situation seems unsettling.,No
I can't silence the panic rising inside me.,Yes
The setting here is peaceful and free of tension.,No
This situation is completely under control.,No
I feel completely confident in my surroundings.,No
I can’t imagine anything going wrong here.,No
This environment is eerie and deeply unsettling.,Yes
I have no reason to feel nervous or afraid.,No
The tension in the air is suffocating me with fear.,Yes
This is an uneventful and peaceful moment for me.,No
Everything is unfolding as expected.,No
I have no doubts or fears about this outcome.,No
I am petrified at the thought of being here.,Yes
This is an uneventful and reassuring environment.,No
The atmosphere here is calm and non-threatening.,No
There are no signs of danger around me.,No
I am unaffected by any negative or fearful emotions.,No
I feel as if the walls are closing in on me.,Yes
I can't stand the thought of facing this.,Yes
This situation has me trembling with fear.,Yes
I have no concerns or worries right now.,No
I am so scared I can barely breathe.,Yes
I can't stop feeling anxious about this.,Yes
The fear inside me feels like a heavy weight.,Yes
The situation is devoid of any alarming signs.,No
I feel confident and composed in this situation.,No
Everything is calm and proceeding smoothly as planned.,No
There is nothing to indicate that danger is present.,No
This place feels like a haven of safety and peace.,No
This place gives me an intense sense of unease.,Yes
I feel a sense of assurance in this environment.,No
I am content and free of any fearful thoughts.,No
I am gripped by an unshakable sense of terror.,Yes
This place feels as safe as my own home.,No
The environment here is calm and serene.,No
