Sentence,Label
The sky looks beautiful tonight.,No
Your actions make me furious!,Yes
This problem seems solvable to me.,No
This kind of treatment is maddening.,Yes
What a beautiful garden you have.,No
This painting is truly a work of art.,No
This situation is manageable.,No
You always make everything worse.,Yes
I feel so disrespected right now.,Yes
I can't believe you did this!,Yes
You never care about my feelings.,Yes
This is a moment of clarity for me.,No
This is the final time I'm warning you.,Yes
Why can't you ever do things right?,Yes
Stop pushing my buttons all the time.,Yes
This is completely unacceptable!,Yes
I have had enough of this nonsense.,Yes
I won't tolerate this behavior anymore.,Yes
This is a rewarding experience for us.,No
Let's stay positive and move forward.,No
I love the sound of rain on my window.,No
I feel so happy about this progress!,No
I am grateful for your support.,No
How dare you speak to me like that?,Yes
I feel utterly disrespected!,Yes
You're testing my limits now.,Yes
How could you be so careless?,Yes
Your kindness means a lot to me.,No
This makes me so mad!,Yes
I trust that things will work out.,No
Let's embrace this challenge with positivity.,No
You need to stop provoking me!,Yes
I feel so angry I can't think straight.,Yes
This project is going very smoothly.,No
I'm sick of this nonsense!,Yes
I am outraged by what you did.,Yes
What a lovely day we're having.,No
I am extremely annoyed right now.,Yes
I'm boiling with anger right now.,Yes
I'm looking forward to the weekend.,No
This is an unacceptable mistake.,Yes
This is infuriating!,Yes
I feel relaxed and at ease right now.,No
This has gone too far!,Yes
You make everything worse!,Yes
I enjoy peaceful moments like these.,No
This is beyond frustrating.,Yes
I really appreciate your help today.,No
You crossed the line this time.,Yes
You always find ways to annoy me.,Yes
You never listen to me!,Yes
I can't stand this anymore.,Yes
This is not how I expected to be treated.,Yes
You ruined everything again!,Yes
I love the feeling of being understood.,No
Why do you always mess things up?,Yes
This book is so interesting to read!,No
Why do you keep ignoring my requests?,Yes
I feel optimistic about the future.,No
Can we talk about this calmly?,No
I am very comfortable right now.,No
This is a wonderful opportunity.,No
I can't deal with this anger anymore.,Yes
What a peaceful evening this is.,No
This is a great chance for growth.,No
I can't believe you ignored me again.,Yes
Can we take a moment to breathe?,No
This is a learning experience for me.,No
I trust we will figure this out together.,No
Can we discuss this idea further?,No
This is an insult to me!,Yes
Your presentation was well done!,No
This behavior is totally infuriating.,Yes
I hope this idea helps us succeed.,No
I enjoy spending time in nature.,No
This makes my blood boil!,Yes
Can we take a break and come back refreshed?,No
Let's work together to find a solution.,No
I am feeling very content and happy.,No
The sunset is breathtakingly beautiful.,No
You have made me furious again!,Yes
This is the worst thing you've done!,Yes
This is the last straw!,Yes
"Can you pass me the salt, please?",No
I'm enraged by this!,Yes
I hate how this always happens.,Yes
Stop being so difficult!,Yes
I feel proud of what we've achieved.,No
I value your feedback a lot.,No
Your encouragement keeps me going.,No
The music is so soothing to hear.,No
I am losing my patience with you.,Yes
I hope we can resolve this soon.,No
This meal tastes absolutely amazing.,No
This is outrageous and frustrating.,Yes
I'm excited about our next steps.,No
Let's enjoy the calm before the storm.,No
